time_s,tag_id,angle_raw_deg,angle_zeroed_deg
1779320554.589235,12,179.8745,0.3222
1779320554.622352,7,0.6703,90.4977
1779320554.622352,12,179.7351,0.1828
1779320554.654970,7,0.8455,90.6730
1779320554.654970,12,179.4595,-0.0928
1779320554.690509,7,-4.1768,85.6506
1779320554.690509,12,179.6662,0.1140
1779320554.722124,7,-9.4510,80.3765
1779320554.722124,12,179.7067,0.1545
1779320554.754193,12,179.7655,0.2132
1779320554.754193,7,-13.9772,75.8502
1779320554.788784,7,-17.5406,72.2868
1779320554.788784,12,179.8356,0.2833
1779320554.823045,12,179.8320,0.2797
1779320554.856579,7,-22.7470,67.0804
1779320554.856579,12,179.8175,0.2652
1779320554.889912,7,-24.4105,65.4169
1779320554.889912,12,179.7412,0.1889
1779320555.038846,7,-25.7651,64.0623
1779320555.038846,12,179.7458,0.1935
1779320555.088389,7,-28.7960,61.0315
1779320555.088389,12,179.9126,0.3603
1779320555.121640,7,-29.0083,60.8192
1779320555.121640,12,179.7660,0.2137
1779320555.155755,12,179.7484,0.1961
1779320555.189378,12,179.8123,0.2600
1779320555.222957,7,-29.4330,60.3944
1779320555.222957,12,179.8118,0.2596
1779320555.256974,7,-29.5075,60.3200
1779320555.256974,12,179.8439,0.2917
1779320555.288992,12,179.6210,0.0688
1779320555.323588,12,179.6459,0.0936
1779320555.355803,7,-29.5737,60.2538
1779320555.355803,12,179.8644,0.3121
1779320555.388726,12,179.8888,0.3365
1779320555.388726,7,-29.5679,60.2595
1779320555.563557,12,179.8831,0.3308
1779320555.563557,7,-29.5796,60.2479
1779320555.622294,12,153.1020,-26.4502
1779320555.655758,12,149.6173,-29.9350
1779320555.655758,7,-38.8984,50.9290
1779320555.687990,12,144.3383,-35.2139
1779320555.687990,7,-40.3089,49.5186
1779320555.723829,12,140.5044,-39.0479
1779320555.723829,7,-42.7307,47.0968
1779320555.760827,12,137.3387,-42.2136
1779320555.760827,7,-49.4222,40.4053
1779320555.790622,7,-51.5964,38.2310
1779320555.790622,12,135.0460,-44.5062
1779320555.821641,12,133.3005,-46.2518
1779320555.821641,7,-52.5650,37.2625
1779320555.860482,12,132.1626,-47.3896
1779320555.860482,7,-53.8293,35.9981
1779320555.890361,7,-54.8399,34.9875
1779320555.890361,12,130.9077,-48.6446
1779320555.922416,7,-54.9461,34.8813
1779320555.922416,12,130.0009,-49.5513
1779320556.088327,12,129.7073,-49.8450
1779320556.088327,7,-55.2187,34.6088
1779320556.123163,12,128.3014,-51.2509
