t_ms,target1,pos1,target2,pos2,target3,pos3,targetm1,am1,targetm2,am2,targetm3,am3
92879.0,0.0,-0.0,1.2,1.2,0.0,-0.0,0.39,0.39,-1.02,-1.01,-2.38,-2.37
92979.0,0.0,-0.0,1.2,1.2,0.0,-0.0,0.39,0.39,-1.02,-1.01,-2.38,-2.38
93079.0,0.0,-0.0,0.0,0.74,1.2,0.18,0.39,0.39,0.9,-0.28,1.46,-1.35
93179.0,0.0,-0.0,0.0,0.32,1.2,0.73,0.39,0.39,0.9,0.39,1.46,0.19
93279.0,0.0,-0.0,0.0,0.14,1.2,0.99,0.39,0.39,0.9,0.68,1.46,0.9
93379.0,0.0,-0.0,0.0,0.06,1.2,1.11,0.39,0.39,0.9,0.8,1.46,1.21
93479.0,0.0,-0.0,0.0,0.03,1.2,1.16,0.39,0.39,0.9,0.86,1.46,1.35
93579.0,0.0,-0.0,0.0,0.01,1.2,1.18,0.39,0.39,0.9,0.88,1.46,1.41
93679.0,0.0,-0.0,0.0,0.01,1.2,1.19,0.39,0.39,0.9,0.89,1.46,1.44
93779.0,0.0,-0.0,0.0,0.01,1.2,1.2,0.39,0.39,0.9,0.89,1.46,1.45
93879.0,0.0,-0.0,0.0,0.0,1.2,1.2,0.39,0.39,0.9,0.9,1.46,1.45
93979.0,0.0,-0.0,0.0,0.0,1.2,1.2,0.39,0.39,0.9,0.9,1.46,1.46
94079.0,0.0,-0.0,1.2,0.46,0.0,1.01,0.39,0.39,-1.02,0.17,-2.38,0.43
94179.0,0.0,-0.0,1.2,0.88,0.0,0.47,0.39,0.39,-1.02,-0.5,-2.38,-1.11
94279.0,0.0,-0.0,1.2,1.06,0.0,0.2,0.39,0.39,-1.02,-0.79,-2.38,-1.82
94379.0,0.0,-0.0,1.2,1.14,0.0,0.09,0.39,0.39,-1.02,-0.91,-2.38,-2.13
94479.0,0.0,-0.0,1.2,1.17,0.0,0.04,0.39,0.39,-1.02,-0.97,-2.38,-2.27
94579.0,0.0,-0.0,1.2,1.19,0.0,0.01,0.39,0.39,-1.02,-0.99,-2.38,-2.33
94679.0,0.0,-0.0,1.2,1.19,0.0,0.0,0.39,0.39,-1.02,-1.0,-2.38,-2.36
94779.0,0.0,-0.0,1.2,1.19,0.0,0.0,0.39,0.39,-1.02,-1.01,-2.38,-2.37
94879.0,0.0,-0.0,1.2,1.2,0.0,-0.0,0.39,0.39,-1.02,-1.01,-2.38,-2.37
