2026-05-19 11:25:32,388 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2026-05-19 11:25:32,466 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2026-05-19 11:25:32,466 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2026-05-19 11:25:32,466 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2026-05-19 11:25:32,472 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2026-05-19 11:25:32,472 INFO  SwAddin.cs: 197 - Setting up callbacks
2026-05-19 11:25:32,474 INFO  SwAddin.cs: 201 - Setting up command manager
2026-05-19 11:25:32,476 INFO  SwAddin.cs: 204 - Adding command manager
2026-05-19 11:25:32,480 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2026-05-19 11:25:32,480 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2026-05-19 11:25:32,482 INFO  SwAddin.cs: 210 - Adding event handlers
2026-05-19 11:25:32,529 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2026-05-19 15:14:14,265 INFO  SwAddin.cs: 294 - Assembly export called for file Full assembly_visual.SLDASM
2026-05-19 15:14:19,963 INFO  SwAddin.cs: 313 - Saving assembly
2026-05-19 15:14:21,173 INFO  SwAddin.cs: 316 - Opening property manager
2026-05-19 15:14:21,433 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Full assembly_visual.SLDASM
2026-05-19 15:14:21,471 INFO  ExportHelperExtension.cs: 1136 - Found 54 in Full assembly_visual.SLDASM
2026-05-19 15:14:21,568 INFO  ExportHelperExtension.cs: 1145 - Found 4 features of type [CoordSys] in Full assembly_visual.SLDASM
2026-05-19 15:14:21,568 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2026-05-19 15:14:21,577 INFO  ExportHelperExtension.cs: 1160 - 5 components to check
2026-05-19 15:14:21,585 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from splay-1
2026-05-19 15:14:21,588 INFO  ExportHelperExtension.cs: 1136 - Found 80 in splay-1
2026-05-19 15:14:21,719 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in splay-1
2026-05-19 15:14:21,719 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from mcp_flexion-1
2026-05-19 15:14:21,723 INFO  ExportHelperExtension.cs: 1136 - Found 56 in mcp_flexion-1
2026-05-19 15:14:21,820 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in mcp_flexion-1
2026-05-19 15:14:21,823 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from pip_flexion-1
2026-05-19 15:14:21,823 INFO  ExportHelperExtension.cs: 1136 - Found 41 in pip_flexion-1
2026-05-19 15:14:21,897 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in pip_flexion-1
2026-05-19 15:14:21,897 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Full assembly_visual.SLDASM
2026-05-19 15:14:21,897 INFO  ExportHelperExtension.cs: 1136 - Found 54 in Full assembly_visual.SLDASM
2026-05-19 15:14:21,904 INFO  ExportHelperExtension.cs: 1145 - Found 6 features of type [RefAxis] in Full assembly_visual.SLDASM
2026-05-19 15:14:21,904 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
